1000      0.0382251       0.086486       0.239843
2000      0.0405436      0.0881813        0.19783
3000       0.044559      0.0909785       0.208127
4000       0.047889      0.0950016       0.234545
5000      0.0513547       0.100574        0.28238
6000      0.0548162       0.108672       0.369858
7000      0.0575412       0.119309       0.527984
8000      0.0611396       0.134718       0.894079
9000      0.0651632       0.151388        1.97471
10000      0.0694245        0.18017       0.807558
11000      0.0737259       0.222322       0.525866
12000      0.0779115       0.269835       0.396665
13000      0.0815448       0.359507       0.324476
14000      0.0836783       0.623028        0.27693
15000      0.0812178        1.00409       0.247115
16000      0.0617944        1.43937       0.227052
17000      0.0906318        0.79028        0.21592
18000       0.122284       0.512953       0.211824
19000       0.142343       0.369249       0.211618
20000       0.163833       0.278691       0.217825
21000       0.188876       0.220524       0.232654
22000       0.225881       0.181855       0.260058
23000        0.28518       0.156707       0.301068
24000       0.392423       0.138573       0.374012
25000       0.597768       0.121979       0.520247
26000        1.03745       0.105352       0.784046
27000        1.45516      0.0883629        1.63876
28000       0.779246      0.0728547       0.952364
29000       0.459517      0.0609248       0.564459
30000       0.303514      0.0531338       0.401786
31000       0.219757      0.0557246       0.309447
32000       0.172523      0.0648703       0.252323
33000       0.158173      0.0725167       0.221316
34000       0.156282       0.073066       0.249332
35000        0.12843      0.0677338       0.207797
36000      0.0718856      0.0603009       0.152578
37000      0.0430286      0.0527679       0.121757
38000      0.0411438      0.0462768      0.0944383
39000      0.0433341      0.0411192      0.0623124
40000      0.0438479      0.0362955       0.068103
41000      0.0441249      0.0336398       0.137715
42000      0.0424846      0.0316356       0.154025
43000      0.0396949      0.0308292       0.129803
44000      0.0353768      0.0297504       0.109858
45000       0.031417      0.0292773      0.0990451
46000      0.0279084      0.0278072      0.0915915
47000      0.0248957      0.0257649      0.0888436
48000      0.0211584      0.0233636      0.0882761
49000      0.0177668      0.0210433      0.0930872
50000      0.0146756      0.0201798      0.0966367
