1000       0.179087       0.403133        1.29025
2000       0.270026       0.609693        1.88209
3000       0.279336       0.633186        1.88034
4000       0.313836        0.71384          2.062
5000       0.356327       0.813432        2.32122
6000        0.40727       0.933079        2.68697
7000       0.437348         1.0083        3.01572
8000       0.504008        1.17338        3.82229
9000       0.542318        1.28046        4.38629
10000       0.524282          1.265        2.74436
11000       0.571315         1.4314        2.01889
12000       0.639237        1.68209         1.5722
13000       0.752241        2.10074        1.29445
14000       0.820134        2.56467       0.974993
15000       0.799102        3.03824       0.621519
16000       0.891534        4.14564       0.420242
17000        1.00644         3.3047       0.260966
18000       0.987415        2.35389       0.192986
19000        1.12118        1.98113       0.331483
20000        1.18139         1.5827       0.487239
21000        1.32275        1.35057       0.684334
22000        1.48834        1.16772       0.901577
23000         1.6026       0.959156         1.0902
24000        1.95804       0.871455        1.44442
25000        2.50559        0.80025        1.94432
26000        3.22662       0.698326        2.54491
27000        3.53216       0.596721        3.42357
28000         2.9427       0.624585        3.18129
29000         2.2517       0.562545         2.3038
30000        2.07367       0.593969        1.98539
31000        1.84295       0.607405        1.63785
32000        1.53037       0.589364        1.24407
33000        1.37282        0.62671        1.01135
34000        1.26017       0.682582       0.820663
35000        1.18541       0.726448       0.624678
36000        1.21015        0.79398       0.492584
37000        1.07097       0.742899       0.345828
38000        1.16926       0.860559        0.31729
39000        1.09771       0.858152       0.286553
40000        1.08936       0.901797       0.326824
41000        1.01431       0.885735       0.407678
42000       0.879242       0.806085       0.473715
43000       0.895206       0.859398         0.5924
44000        0.84305       0.842705       0.638506
45000       0.830056       0.859143       0.696768
46000       0.850555       0.906994       0.778015
47000       0.823541       0.901942       0.813233
48000       0.803362       0.901403       0.850803
49000       0.741642       0.850212       0.839312
50000       0.678077       0.792857       0.822419
